00 : 0.682799	00 : 0.693464	00 : 0.683656	00 : 0.744612	00 : 0.658689	00 : 0.243298	00 : 0.164561	00 : 0.244245	00 : 0.171229	00 : 0.171422	00 : 0.196918	00 : 0.186326	00 : 0.174094	00 : 0.198014	00 : 0.206670	00 : 0.166982	
01 : 0.176743	01 : 0.167623	01 : 0.185650	01 : 0.226501	01 : 0.178599	01 : 0.185957	01 : 0.169802	01 : 0.201194	01 : 0.193479	01 : 0.165778	01 : 0.177374	01 : 0.210203	01 : 0.196591	01 : 0.190107	01 : 0.174590	01 : 0.189047	
02 : 0.187154	02 : 0.165071	02 : 0.151023	02 : 0.172007	02 : 0.156619	02 : 0.190381	02 : 0.186772	02 : 0.196293	02 : 0.231862	02 : 0.178848	02 : 0.158126	02 : 0.170338	02 : 0.183354	02 : 0.176146	02 : 0.197957	02 : 0.190018	
03 : 0.189721	03 : 0.209225	03 : 0.198268	03 : 0.165197	03 : 0.158560	03 : 0.184127	03 : 0.168522	03 : 0.190382	03 : 0.187514	03 : 0.206805	03 : 0.184877	03 : 0.168937	03 : 0.185392	03 : 0.172792	03 : 0.168431	03 : 0.178538	
04 : 0.170962	04 : 0.211069	04 : 0.180606	04 : 0.182839	04 : 0.196745	04 : 0.194389	04 : 0.203086	04 : 0.196219	04 : 0.165431	04 : 0.175829	04 : 0.194776	04 : 0.188462	04 : 0.170658	04 : 0.178551	04 : 0.169010	04 : 0.179703	
05 : 0.207827	05 : 0.172880	05 : 0.179973	05 : 0.180782	05 : 0.236016	05 : 0.196940	05 : 0.186963	05 : 0.204081	05 : 0.187582	05 : 0.173575	05 : 0.178681	05 : 0.177446	05 : 0.225001	05 : 0.179096	05 : 0.203535	05 : 0.161650	
06 : 0.167606	06 : 0.195291	06 : 0.207277	06 : 0.184977	06 : 0.202180	06 : 0.189582	06 : 0.209208	06 : 0.200516	06 : 0.183843	06 : 0.189666	06 : 0.184688	06 : 0.189063	06 : 0.168235	06 : 0.162040	06 : 0.181129	06 : 0.189203	
07 : 0.162163	07 : 0.177222	07 : 0.152955	07 : 0.168605	07 : 0.182670	07 : 0.182751	07 : 0.187236	07 : 0.166215	07 : 0.193033	07 : 0.163833	07 : 0.207611	07 : 0.212255	07 : 0.186743	07 : 0.149284	07 : 0.217609	07 : 0.199369	
08 : 0.146123	08 : 0.203690	08 : 0.210267	08 : 0.176795	08 : 0.174269	08 : 0.178603	08 : 0.176365	08 : 0.161761	08 : 0.159911	08 : 0.179501	08 : 0.172317	08 : 0.177960	08 : 0.192194	08 : 0.181613	08 : 0.206808	08 : 0.186398	
09 : 0.222062	09 : 0.180953	09 : 0.222369	09 : 0.204055	09 : 0.175427	09 : 0.184430	09 : 0.170531	09 : 0.205822	09 : 0.195171	09 : 0.227481	09 : 0.218230	09 : 0.189845	09 : 0.170151	09 : 0.180657	09 : 0.231460	09 : 0.174136	
0A : 0.206244	0A : 0.233603	0A : 0.190310	0A : 0.185322	0A : 0.158447	0A : 0.193710	0A : 0.164812	0A : 0.190905	0A : 0.179780	0A : 0.180071	0A : 0.226961	0A : 0.164149	0A : 0.176547	0A : 0.159423	0A : 0.155736	0A : 0.215613	
