00 : 0.682799	00 : 0.693464	00 : 0.683656	00 : 0.744612	00 : 0.658689	75 : 0.856447	59 : 0.636541	86 : 0.678716	AB : 0.672052	CC : 0.654906	D7 : 0.841258	FE : 0.656780	99 : 0.688183	77 : 0.686020	86 : 0.655121	43 : 0.826345	
F5 : 0.267492	0B : 0.245943	46 : 0.248527	F3 : 0.257342	F5 : 0.268861	40 : 0.259806	45 : 0.247549	00 : 0.244245	5D : 0.266767	8D : 0.254495	22 : 0.275982	96 : 0.256475	6C : 0.287569	95 : 0.245023	3E : 0.285007	E4 : 0.286518	
0D : 0.262306	F4 : 0.244661	30 : 0.247547	29 : 0.254800	B4 : 0.257725	F5 : 0.258890	36 : 0.245375	B0 : 0.241570	5E : 0.253836	8F : 0.239698	98 : 0.241508	B4 : 0.250641	0B : 0.263147	42 : 0.244444	B2 : 0.257716	0D : 0.254516	
D0 : 0.257496	F5 : 0.234080	B8 : 0.243440	0B : 0.249437	4D : 0.249257	5C : 0.256934	2D : 0.244864	52 : 0.239010	F3 : 0.243016	2F : 0.230339	0C : 0.234908	E5 : 0.250387	92 : 0.253011	48 : 0.239674	92 : 0.253679	A4 : 0.250800	
56 : 0.240945	0A : 0.233603	14 : 0.238940	3F : 0.245845	49 : 0.248372	D2 : 0.255087	16 : 0.243391	1D : 0.237494	20 : 0.235761	FD : 0.228467	90 : 0.234529	6F : 0.246186	3E : 0.252998	C9 : 0.237827	6D : 0.250244	DF : 0.247122	
9D : 0.239719	56 : 0.227427	72 : 0.237909	70 : 0.242208	2F : 0.239775	0B : 0.250906	54 : 0.236449	AB : 0.229073	9F : 0.235486	6D : 0.228092	F6 : 0.234065	F0 : 0.243851	16 : 0.247180	DB : 0.234841	69 : 0.241331	0B : 0.242999	
DB : 0.236338	70 : 0.227408	6A : 0.237814	75 : 0.237338	05 : 0.236016	B0 : 0.247974	AC : 0.233723	AF : 0.227101	E3 : 0.235087	09 : 0.227481	3F : 0.233206	4B : 0.232172	30 : 0.245184	FE : 0.229977	4F : 0.239818	B6 : 0.239307	
FC : 0.233924	D5 : 0.224373	59 : 0.236565	B8 : 0.236848	0D : 0.235064	00 : 0.243298	86 : 0.233035	A2 : 0.226366	02 : 0.231862	7C : 0.227005	9B : 0.233153	9F : 0.231721	2B : 0.244051	CD : 0.229940	AD : 0.236930	60 : 0.238046	
F3 : 0.230718	75 : 0.222519	3F : 0.236018	9D : 0.233378	52 : 0.234713	4B : 0.242724	C0 : 0.233020	BD : 0.225522	E2 : 0.231033	85 : 0.224326	E9 : 0.233032	B3 : 0.230758	2F : 0.242222	72 : 0.229329	34 : 0.236643	B0 : 0.237241	
4B : 0.230423	3F : 0.221443	8D : 0.233044	9F : 0.232465	D7 : 0.232820	DC : 0.241244	32 : 0.232737	76 : 0.225171	B9 : 0.230314	88 : 0.222239	C1 : 0.232530	E3 : 0.229695	76 : 0.240089	3B : 0.228535	DA : 0.233905	C9 : 0.229316	
F2 : 0.225851	82 : 0.219617	33 : 0.230077	0C : 0.231779	18 : 0.229792	64 : 0.233973	E9 : 0.226693	A7 : 0.223864	19 : 0.229717	13 : 0.222129	49 : 0.230271	A4 : 0.228979	A6 : 0.234175	59 : 0.228105	48 : 0.232115	3E : 0.227797	
99 : 0.223954	CE : 0.218866	23 : 0.229267	35 : 0.230721	E8 : 0.228497	1F : 0.233446	1E : 0.225750	34 : 0.223167	95 : 0.228129	3A : 0.221349	F3 : 0.230190	BD : 0.227814	9C : 0.233414	D2 : 0.227634	09 : 0.231460	51 : 0.225169	
F0 : 0.222594	73 : 0.218384	2D : 0.228935	90 : 0.229584	4F : 0.227006	46 : 0.232102	E5 : 0.225574	44 : 0.222139	26 : 0.227341	E5 : 0.219653	EB : 0.229291	6A : 0.225709	0D : 0.233368	B2 : 0.225322	EA : 0.231127	76 : 0.224988	
5D : 0.222270	30 : 0.218175	16 : 0.228714	F0 : 0.228758	29 : 0.224180	3E : 0.225797	8B : 0.224606	46 : 0.221241	FF : 0.223038	39 : 0.219421	8B : 0.229056	C0 : 0.224770	8F : 0.227558	2F : 0.224149	D4 : 0.231063	D4 : 0.224914	
09 : 0.222062	CD : 0.216795	54 : 0.227252	62 : 0.227910	B6 : 0.223752	17 : 0.223934	74 : 0.224509	2C : 0.218232	BF : 0.222794	AB : 0.218371	DD : 0.227877	69 : 0.223428	40 : 0.225105	2B : 0.223807	49 : 0.230528	4C : 0.224836	
